subject_length,message_length,num_words_subject,num_words_message,is_subject_missing,num_exclamations,num_questionmarks,num_uppercase_words,num_digits,num_urls,word_free,word_money,word_offer,word_win,word_click,word_buy,word_urgent,word_credit,word_investment,word_limited,word_guarantee,word_prize,Spam/Ham
20,376,4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,408,2,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,333,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,770,3,158,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,613,11,133,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,281,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1235,2,258,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,808,3,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,756,4,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,348,5,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,778,4,153,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,142,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,94,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,152,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,55,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,664,9,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,44,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,738,3,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,33,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1056,5,173,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
39,1548,9,286,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,157,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,34,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,80,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,290,9,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,424,10,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,249,4,47,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
22,138,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,150,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,421,6,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,471,4,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,33,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,188,3,40,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,41,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,473,4,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,875,9,149,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,1571,9,272,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,544,5,115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,179,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,232,4,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,268,4,53,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,278,4,55,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,813,4,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,457,4,91,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,121,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,231,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1273,9,243,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,151,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,114,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,205,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1185,7,244,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,579,4,114,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,685,2,135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,219,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,245,2,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,53,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,44,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,116,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,841,9,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,188,7,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,715,2,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,208,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,189,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,377,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,100,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,80,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,567,4,102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,1794,4,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,363,5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1501,1,291,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
4,35,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,133,2,27,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
31,248,5,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,74,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,376,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1111,2,206,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,697,2,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,347,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,499,2,97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,413,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1470,3,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,336,5,66,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,27,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,230,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,605,11,123,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,284,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,595,0,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2010,6,385,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1058,5,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2390,7,465,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2504,2,503,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5,66,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1012,9,185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,88,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,31,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2117,11,409,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,110,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,353,3,70,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,382,5,80,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,888,6,173,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,718,2,163,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,134,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,226,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,502,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,35,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,327,3,58,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2233,11,429,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,739,2,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,35,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,749,2,152,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1570,2,302,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2499,4,375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
20,74,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,159,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1047,12,228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1268,3,239,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2064,13,418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,74,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,22,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,240,2,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,351,4,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,300,3,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,947,5,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,74,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2389,3,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,183,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,80,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1561,4,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,224,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1072,7,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,229,2,44,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,351,3,73,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,294,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1199,7,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,87,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,615,10,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,621,4,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,252,3,50,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,549,3,104,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1949,8,349,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2107,8,374,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,194,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,78,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1192,3,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,35,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,548,2,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,286,7,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,208,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,954,3,156,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
9,223,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,112,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,760,6,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,192,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,114,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,74,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,442,14,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,384,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,870,10,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,221,2,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,74,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,917,2,207,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,152,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,84,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,363,2,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,67,2,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,280,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,117,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,507,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,410,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,459,2,107,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,84,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,183,15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,354,4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,191,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,467,7,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,805,2,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,790,3,163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,31,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,181,8,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,723,2,163,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,231,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,133,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,251,7,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,135,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,556,4,106,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2110,2,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,74,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,103,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,369,8,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,405,9,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,585,8,120,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,277,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,195,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,800,1,182,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
24,2242,4,423,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
17,78,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,74,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,303,2,56,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,281,3,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,464,2,93,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,829,10,159,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,181,2,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1065,11,211,0,4,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,826,11,166,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1367,11,303,0,9,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,409,3,83,0,4,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0
53,1720,8,314,0,4,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0
55,1673,9,323,0,6,1,0,0,4,10,0,2,0,1,0,0,0,0,0,0,0,0
2,342,1,68,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1649,6,309,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
39,397,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,80,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2382,6,453,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,307,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,249,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,142,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,42,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,348,7,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,171,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,605,2,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,84,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,215,7,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,973,4,165,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,74,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,681,4,125,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,550,3,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,80,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,373,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1179,6,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
53,457,10,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,198,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,304,1,65,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,565,2,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,232,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1005,6,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,682,4,126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,138,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1257,3,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,74,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,631,3,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,326,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,335,8,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,429,1,95,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
13,74,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,372,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,516,3,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,274,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2178,4,408,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
16,1161,3,218,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,189,6,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,188,2,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1867,3,429,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
12,33,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,78,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,996,3,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,629,2,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,640,4,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,193,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,271,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,444,3,89,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
